file               offset kind         packed   unpacked depth  sha1
cd32rez            614456 RNC2            154        272     0  b46b6ec73697
cd32rez            614610 RNC2            161        272     0  449267aa63e7
cd32rez            614772 RNC2            153        272     0  9dc7963cc1e0
cd32rez            614926 RNC2            162        400     0  92f9cd55888b
cd32rez            615088 RNC2            139        304     0  bbaf0c22cc1e
cd32rez            615228 RNC2            143        304     0  bbee0b03496e
cd32rez            615372 RNC2            148        304     0  e58326b66219
cd32rez            615520 RNC2            171        400     0  d00b7b525d0b
cd32rez            615692 RNC2            247        400     0  f16fd932493b
cd32rez            615940 RNC2            244        400     0  20cd0c986648
cd32rez            616184 RNC2            242        400     0  fe3c62d4ac2f
cd32rez            616426 RNC2            208        400     0  7e340d4837fa
cd32rez            616634 RNC2            131        208     0  c228f3fe70c1
cd32rez            616766 RNC2            129        208     0  3557abd1ab8f
cd32rez            616896 RNC2            150        208     0  6839deefabe1
cd32rez            617046 RNC2            169        208     0  016130761368
cd32rez            617216 RNC2           2048       5568     0  eb43529ec4df
cd32rez            619264 RNC2           2252       5824     0  64854940779e
cd32rez            621516 RNC2             95        208     0  f79472a83dda
cd32rez            621612 RNC2             94        208     0  5472d2168f18
